time_s,charge_C,current_A,position_m,velocity_ms,force_N,inductance_H,power_W,energy_capacitor_J,energy_kinetic_J
0.0007730044334924295,179.18826003116584,967.9128649056369,-0.0705539423609422,40.48615078388882,0.0,0.002820330771847941,346877.2442484439,32108.432532996703,1307.9637181846967
0.0007733262504922182,179.1879485531851,967.8331061820727,-0.07054091287966134,40.48832411956575,0.0,0.0028206305833695334,346848.0576772451,32108.320906698907,1308.1041474651183
0.0007736480674920069,179.1876371008743,967.7533334751853,-0.07052788269893061,40.4904976633778,0.0,0.002820930489129772,346818.86624382576,32108.209289794624,1308.2445977333732
0.0007739698844917956,179.18732567423797,967.6735467858585,-0.07051485181868306,40.49267141528296,0.0,0.002821230489163199,346789.6699485252,32108.09768228542,1308.3850689889134
0.0007742917014915843,179.1870142732806,967.5937461149778,-0.0705018202388517,40.494845375239194,0.0,0.0028215305835043677,346760.46879168315,32107.986084172862,1308.5255612311869
0.0007746135184913729,179.18670289800667,967.5139314634298,-0.07048878795936961,40.497019543204416,0.0,0.002821830772187833,346731.26277364,32107.874495458513,1308.6660744596402
0.0007749353354911617,179.18639154842072,967.4341028321033,-0.07047575498016984,40.499193919136545,0.0,0.0028221310552481683,346702.05189473677,32107.76291614394,1308.8066086737178
0.0007752571524909503,179.18608022452725,967.3542602218885,-0.07046272130118547,40.50136850299345,0.0,0.002822431432719947,346672.83615531505,32107.651346230716,1308.9471638728626
0.0007755789694907391,179.18576892633072,967.2744036336767,-0.0704496869223496,40.50354329473298,0.0,0.0028227319046377555,346643.6155557167,32107.53978572039,1309.0877400565137
0.0007759007864905277,179.18545765383564,967.1945330683614,-0.07043665184359532,40.505718294312935,0.0,0.0028230324710361884,346614.3900962844,32107.428234614526,1309.228337224108
0.0007762226034903164,179.18514640704652,967.1146485268372,-0.07042361606485577,40.507893501691115,0.0,0.0028233331319498472,346585.1597773613,32107.316692914694,1309.3689553750821
0.0007765444204901051,179.18483518596787,967.0347500100005,-0.07041057958606409,40.51006891682527,0.0,0.0028236338874133428,346555.9245992912,32107.20516062247,1309.5095945088678
0.0007768662374898938,179.18452399060416,966.9548375187493,-0.0703975424071534,40.51224453967312,0.0,0.002823934737461295,346526.68456241814,32107.0936377394,1309.6502546248962
0.0007771880544896825,179.18421282095989,966.874911053983,-0.07038450452805689,40.514420370192376,0.0,0.002824235682128332,346497.4396670871,32106.982124267044,1309.7909357225963
0.0007775098714894712,179.18390167703956,966.7949706166029,-0.0703714659487077,40.51659640834069,0.0,0.0028245367214490913,346468.18991364347,32106.87062020698,1309.931637801393
0.0007778316884892598,179.1835905588477,966.7150162075113,-0.07035842666903906,40.51877265407571,0.0,0.0028248378554582157,346438.93530243303,32106.759125560773,1310.0723608607111
0.0007781535054890485,179.18327946638874,966.6350478276127,-0.07034538668898413,40.52094910735505,0.0,0.0028251390841903617,346409.6758338023,32106.647640329968,1310.2131048999722
0.0007784753224888372,179.18296839966723,966.5550654778127,-0.07033234600847615,40.523125768136275,0.0,0.00282544040768019,346380.4115080984,32106.536164516147,1310.3538699185947
